date,city,region,demand_mwh,timestamp_utc
2025-08-11,New York,NYIS,24123,2025-08-11T00
2025-08-11,New York,NYIS,23823,2025-08-11T00
2025-08-11,New York,NYIS,20715,2025-08-11T00
2025-08-11,Chicago,PJM,126794,2025-08-11T00
2025-08-11,Chicago,PJM,119692,2025-08-11T00
2025-08-11,Chicago,PJM,129234,2025-08-11T00
2025-08-11,Houston,ERCO,81280,2025-08-11T00
2025-08-11,Houston,ERCO,78653,2025-08-11T00
2025-08-11,Houston,ERCO,80297,2025-08-11T00
2025-08-11,Phoenix,AZPS,7748,2025-08-11T00
2025-08-11,Phoenix,AZPS,8065,2025-08-11T00
2025-08-11,Phoenix,AZPS,5001,2025-08-11T00
2025-08-11,Phoenix,AZPS,-2747,2025-08-11T00
2025-08-11,Seattle,SCL,1177,2025-08-11T00
2025-08-11,Seattle,SCL,1120,2025-08-11T00
2025-08-11,Seattle,SCL,769,2025-08-11T00
2025-08-10,New York,NYIS,22235,2025-08-10T00
2025-08-10,New York,NYIS,21620,2025-08-10T00
2025-08-10,New York,NYIS,20715,2025-08-10T00
2025-08-10,New York,NYIS,-1520,2025-08-10T00
2025-08-10,Chicago,PJM,121919,2025-08-10T00
2025-08-10,Chicago,PJM,115571,2025-08-10T00
2025-08-10,Chicago,PJM,129234,2025-08-10T00
2025-08-10,Chicago,PJM,648,2025-08-10T00
2025-08-10,Houston,ERCO,80351,2025-08-10T00
2025-08-10,Houston,ERCO,79463,2025-08-10T00
2025-08-10,Houston,ERCO,80297,2025-08-10T00
2025-08-10,Houston,ERCO,-53,2025-08-10T00
2025-08-10,Phoenix,AZPS,7813,2025-08-10T00
2025-08-10,Phoenix,AZPS,7823,2025-08-10T00
2025-08-10,Phoenix,AZPS,5357,2025-08-10T00
2025-08-10,Phoenix,AZPS,-2456,2025-08-10T00
2025-08-10,Seattle,SCL,1065,2025-08-10T00
2025-08-10,Seattle,SCL,1003,2025-08-10T00
2025-08-10,Seattle,SCL,769,2025-08-10T00
2025-08-10,Seattle,SCL,-296,2025-08-10T00
2025-08-09,New York,NYIS,22246,2025-08-09T00
2025-08-09,New York,NYIS,21956,2025-08-09T00
2025-08-09,New York,NYIS,21247,2025-08-09T00
2025-08-09,New York,NYIS,-999,2025-08-09T00
2025-08-09,Chicago,PJM,123976,2025-08-09T00
2025-08-09,Chicago,PJM,117150,2025-08-09T00
2025-08-09,Chicago,PJM,129795,2025-08-09T00
2025-08-09,Chicago,PJM,522,2025-08-09T00
2025-08-09,Houston,ERCO,81793,2025-08-09T00
2025-08-09,Houston,ERCO,82725,2025-08-09T00
2025-08-09,Houston,ERCO,81650,2025-08-09T00
2025-08-09,Houston,ERCO,-143,2025-08-09T00
2025-08-09,Phoenix,AZPS,7986,2025-08-09T00
2025-08-09,Phoenix,AZPS,8164,2025-08-09T00
2025-08-09,Phoenix,AZPS,5450,2025-08-09T00
2025-08-09,Phoenix,AZPS,-2536,2025-08-09T00
2025-08-09,Seattle,SCL,1127,2025-08-09T00
2025-08-09,Seattle,SCL,1052,2025-08-09T00
2025-08-09,Seattle,SCL,547,2025-08-09T00
2025-08-09,Seattle,SCL,-580,2025-08-09T00
2025-08-08,New York,NYIS,22177,2025-08-08T00
